,venue,innings,batting_team,bowling_team,striker,bowler,total_runs
24,Dr DY Patil Sports Academy,50,Mumbai Indians,Deccan Chargers,42.324,3.992,27
25,Dr DY Patil Sports Academy,100,Deccan Chargers,Mumbai Indians,20.123,10.194,60
26,"Punjab Cricket Association Stadium, Mohali",50,Delhi Daredevils,Punjab Kings,47.876,7.344,45
27,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Delhi Daredevils,40.084,2.511,55
28,M Chinnaswamy Stadium,50,Chennai Super Kings,Royal Challengers Bangalore,32.049,13.5,36
29,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Chennai Super Kings,24.6,2.306,45
30,Eden Gardens,50,Kolkata Knight Riders,Mumbai Indians,42.0,12.084,40
31,Eden Gardens,100,Mumbai Indians,Kolkata Knight Riders,54.955,8.47,38
32,Feroz Shah Kotla,50,Delhi Daredevils,Royal Challengers Bangalore,35.018,13.5,58
33,Feroz Shah Kotla,100,Royal Challengers Bangalore,Delhi Daredevils,41.899,1.841,55
34,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Punjab Kings,29.39,6.095,50
35,"Rajiv Gandhi International Stadium, Uppal",100,Punjab Kings,Deccan Chargers,19.533,3.992,41
36,Sawai Mansingh Stadium,50,Rajasthan Royals,Kolkata Knight Riders,24.827,8.984,45
37,Sawai Mansingh Stadium,100,Kolkata Knight Riders,Rajasthan Royals,39.168,4.817,51
38,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Delhi Daredevils,33.049,3.328,47
39,"MA Chidambaram Stadium, Chepauk",100,Delhi Daredevils,Chennai Super Kings,23.967,5.842,64
40,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Royal Challengers Bangalore,20.759,5.951,41
41,"Rajiv Gandhi International Stadium, Uppal",100,Royal Challengers Bangalore,Deccan Chargers,25.643,5.877,43
42,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Kolkata Knight Riders,30.637,8.47,49
43,"Punjab Cricket Association Stadium, Mohali",100,Kolkata Knight Riders,Punjab Kings,46.634,5.903,31
44,Dr DY Patil Sports Academy,50,Mumbai Indians,Delhi Daredevils,18.335,1.841,50
45,Dr DY Patil Sports Academy,100,Delhi Daredevils,Mumbai Indians,45.571,6.741,37
46,Sawai Mansingh Stadium,50,Chennai Super Kings,Rajasthan Royals,60.138,7.843,38
47,Sawai Mansingh Stadium,100,Rajasthan Royals,Chennai Super Kings,19.843,2.421,44
48,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Punjab Kings,42.032,6.003,26
49,M Chinnaswamy Stadium,100,Punjab Kings,Royal Challengers Bangalore,29.934,15.526,52
50,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Deccan Chargers,43.613,3.982,34
51,"MA Chidambaram Stadium, Chepauk",100,Deccan Chargers,Chennai Super Kings,27.982,5.842,50
52,Dr DY Patil Sports Academy,50,Rajasthan Royals,Mumbai Indians,43.026,10.008,48
53,Dr DY Patil Sports Academy,100,Mumbai Indians,Rajasthan Royals,18.335,4.4,34
54,Feroz Shah Kotla,50,Delhi Daredevils,Chennai Super Kings,45.571,5.25,50
55,Feroz Shah Kotla,100,Chennai Super Kings,Delhi Daredevils,22.631,3.328,62
56,Eden Gardens,50,Kolkata Knight Riders,Royal Challengers Bangalore,32.425,16.842,41
57,Eden Gardens,100,Royal Challengers Bangalore,Kolkata Knight Riders,29.988,8.43,35
58,Sawai Mansingh Stadium,50,Deccan Chargers,Rajasthan Royals,20.759,7.102,50
59,Sawai Mansingh Stadium,100,Rajasthan Royals,Deccan Chargers,21.093,4.772,50
60,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Mumbai Indians,23.796,6.187,36
61,M Chinnaswamy Stadium,100,Mumbai Indians,Royal Challengers Bangalore,21.513,11.575,39
62,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Punjab Kings,40.877,6.095,53
63,"MA Chidambaram Stadium, Chepauk",100,Punjab Kings,Chennai Super Kings,37.727,5.25,35
64,"Rajiv Gandhi International Stadium, Uppal",50,Kolkata Knight Riders,Deccan Chargers,24.469,5.764,43
65,"Rajiv Gandhi International Stadium, Uppal",100,Deccan Chargers,Kolkata Knight Riders,45.555,8.335,55
66,Sawai Mansingh Stadium,50,Delhi Daredevils,Rajasthan Royals,23.967,7.769,47
67,Sawai Mansingh Stadium,100,Rajasthan Royals,Delhi Daredevils,36.197,3.615,21
68,"Punjab Cricket Association Stadium, Mohali",50,Royal Challengers Bangalore,Punjab Kings,40.254,7.771,50
69,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Royal Challengers Bangalore,20.687,13.5,42
70,Eden Gardens,50,Kolkata Knight Riders,Delhi Daredevils,15.736,2.945,35
71,Eden Gardens,100,Delhi Daredevils,Kolkata Knight Riders,62.919,8.368,37
72,Wankhede Stadium,50,Chennai Super Kings,Mumbai Indians,40.877,6.741,28
73,Wankhede Stadium,100,Mumbai Indians,Chennai Super Kings,21.513,5.25,78
74,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Rajasthan Royals,20.687,7.34,51
75,"Punjab Cricket Association Stadium, Mohali",100,Rajasthan Royals,Punjab Kings,26.241,6.103,38
76,Feroz Shah Kotla,50,Delhi Daredevils,Deccan Chargers,35.018,3.881,48
77,Feroz Shah Kotla,100,Deccan Chargers,Delhi Daredevils,37.811,2.511,71
78,Wankhede Stadium,50,Kolkata Knight Riders,Mumbai Indians,43.319,6.741,27
79,Wankhede Stadium,100,Mumbai Indians,Kolkata Knight Riders,36.904,5.513,68
80,Feroz Shah Kotla,50,Delhi Daredevils,Punjab Kings,23.967,6.095,68
81,Feroz Shah Kotla,100,Punjab Kings,Delhi Daredevils,52.296,3.23,73
82,Sawai Mansingh Stadium,50,Rajasthan Royals,Royal Challengers Bangalore,19.843,11.997,51
83,Sawai Mansingh Stadium,100,Royal Challengers Bangalore,Rajasthan Royals,39.707,3.659,23
84,"Rajiv Gandhi International Stadium, Uppal",50,Mumbai Indians,Deccan Chargers,25.402,4.093,57
85,"Rajiv Gandhi International Stadium, Uppal",100,Deccan Chargers,Mumbai Indians,56.628,6.607,32
86,Eden Gardens,50,Kolkata Knight Riders,Chennai Super Kings,34.512,2.421,35
87,Eden Gardens,100,Chennai Super Kings,Kolkata Knight Riders,20.516,9.018,43
88,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Delhi Daredevils,25.191,2.945,41
89,M Chinnaswamy Stadium,100,Delhi Daredevils,Royal Challengers Bangalore,23.967,15.526,71
90,Eden Gardens,50,Kolkata Knight Riders,Rajasthan Royals,26.893,7.102,32
91,Eden Gardens,100,Rajasthan Royals,Kolkata Knight Riders,46.214,8.984,42
92,Wankhede Stadium,50,Punjab Kings,Mumbai Indians,33.413,5.526,43
93,Wankhede Stadium,100,Mumbai Indians,Punjab Kings,32.782,6.095,68
94,"MA Chidambaram Stadium, Chepauk",50,Royal Challengers Bangalore,Chennai Super Kings,37.459,2.421,23
95,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Royal Challengers Bangalore,20.516,10.259,44
96,"Punjab Cricket Association Stadium, Mohali",50,Deccan Chargers,Punjab Kings,20.759,3.593,42
97,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Deccan Chargers,20.236,4.182,74
98,Feroz Shah Kotla,50,Mumbai Indians,Delhi Daredevils,21.513,2.795,60
99,Feroz Shah Kotla,100,Delhi Daredevils,Mumbai Indians,43.076,10.208,56
100,"MA Chidambaram Stadium, Chepauk",50,Rajasthan Royals,Chennai Super Kings,19.843,5.842,67
101,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Rajasthan Royals,32.213,6.069,65
102,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Deccan Chargers,25.548,4.174,46
103,M Chinnaswamy Stadium,100,Deccan Chargers,Royal Challengers Bangalore,38.958,13.5,33
104,Eden Gardens,50,Punjab Kings,Kolkata Knight Riders,30.637,5.124,47
105,Eden Gardens,100,Kolkata Knight Riders,Punjab Kings,36.714,6.563,51
106,Sawai Mansingh Stadium,50,Mumbai Indians,Rajasthan Royals,21.513,6.486,29
107,Sawai Mansingh Stadium,100,Rajasthan Royals,Mumbai Indians,48.196,6.187,36
108,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Chennai Super Kings,35.248,2.421,26
109,"Rajiv Gandhi International Stadium, Uppal",100,Chennai Super Kings,Deccan Chargers,32.213,3.987,44
110,Wankhede Stadium,50,Rajasthan Royals,Delhi Daredevils,19.843,1.841,58
111,Wankhede Stadium,100,Delhi Daredevils,Rajasthan Royals,52.366,7.102,28
112,Wankhede Stadium,50,Punjab Kings,Chennai Super Kings,60.152,2.709,35
113,Wankhede Stadium,100,Chennai Super Kings,Punjab Kings,34.647,6.755,35
114,Dr DY Patil Sports Academy,50,Chennai Super Kings,Rajasthan Royals,34.647,8.641,42
115,Dr DY Patil Sports Academy,100,Rajasthan Royals,Chennai Super Kings,31.864,2.421,41
116,Newlands,50,Mumbai Indians,Chennai Super Kings,32.564,2.309,40
117,Newlands,100,Chennai Super Kings,Mumbai Indians,46.378,10.888,40
118,Newlands,50,Royal Challengers Bangalore,Rajasthan Royals,53.191,4.883,29
119,Newlands,100,Rajasthan Royals,Royal Challengers Bangalore,28.694,11.179,14
120,Newlands,50,Punjab Kings,Delhi Daredevils,15.174,3.833,67
121,Newlands,100,Delhi Daredevils,Punjab Kings,23.967,6.463,58
122,Newlands,50,Kolkata Knight Riders,Deccan Chargers,45.366,4.532,21
123,Newlands,100,Deccan Chargers,Kolkata Knight Riders,38.958,7.821,37
124,St George's Park,50,Chennai Super Kings,Royal Challengers Bangalore,22.014,13.204,68
125,St George's Park,100,Royal Challengers Bangalore,Chennai Super Kings,35.996,6.874,46
126,Kingsmead,50,Punjab Kings,Kolkata Knight Riders,25.807,8.686,46
127,Kingsmead,100,Kolkata Knight Riders,Punjab Kings,30.732,4.402,60
128,Newlands,50,Deccan Chargers,Royal Challengers Bangalore,29.39,9.862,62
129,Newlands,100,Royal Challengers Bangalore,Deccan Chargers,43.386,4.532,31
130,Kingsmead,50,Delhi Daredevils,Chennai Super Kings,43.81,6.974,59
131,Kingsmead,100,Chennai Super Kings,Delhi Daredevils,33.711,7.803,61
132,Newlands,50,Rajasthan Royals,Kolkata Knight Riders,41.36,5.746,54
133,Newlands,100,Kolkata Knight Riders,Rajasthan Royals,27.633,2.839,38
134,Kingsmead,50,Royal Challengers Bangalore,Punjab Kings,53.17,4.017,49
135,Kingsmead,100,Punjab Kings,Royal Challengers Bangalore,15.174,10.547,44
136,Kingsmead,50,Deccan Chargers,Mumbai Indians,20.759,14.136,55
137,Kingsmead,100,Mumbai Indians,Deccan Chargers,30.531,4.532,50
138,St George's Park,50,Royal Challengers Bangalore,Delhi Daredevils,41.889,7.606,45
139,St George's Park,100,Delhi Daredevils,Royal Challengers Bangalore,43.81,6.238,43
140,Newlands,50,Punjab Kings,Rajasthan Royals,25.605,6.422,38
141,Newlands,100,Rajasthan Royals,Punjab Kings,76.338,4.77,32
142,Kingsmead,50,Chennai Super Kings,Deccan Chargers,33.711,4.67,62
143,Kingsmead,100,Deccan Chargers,Chennai Super Kings,29.39,7.462,69
144,St George's Park,50,Mumbai Indians,Kolkata Knight Riders,21.513,7.915,61
145,St George's Park,100,Kolkata Knight Riders,Mumbai Indians,39.466,14.136,47
146,SuperSport Park,50,Delhi Daredevils,Rajasthan Royals,43.81,4.883,42
147,SuperSport Park,100,Rajasthan Royals,Delhi Daredevils,40.111,7.606,33
148,Kingsmead,50,Kolkata Knight Riders,Royal Challengers Bangalore,39.466,6.229,45
149,Kingsmead,100,Royal Challengers Bangalore,Kolkata Knight Riders,17.47,6.215,46
150,Kingsmead,50,Punjab Kings,Mumbai Indians,33.398,14.136,26
151,Kingsmead,100,Mumbai Indians,Punjab Kings,54.375,5.062,23
152,SuperSport Park,50,Deccan Chargers,Delhi Daredevils,35.925,7.606,37
153,SuperSport Park,100,Delhi Daredevils,Deccan Chargers,43.81,4.079,41
154,SuperSport Park,50,Chennai Super Kings,Rajasthan Royals,40.259,2.839,40
155,SuperSport Park,100,Rajasthan Royals,Chennai Super Kings,43.276,4.479,38
156,Buffalo Park,50,Mumbai Indians,Kolkata Knight Riders,40.763,8.792,40
157,Buffalo Park,100,Kolkata Knight Riders,Mumbai Indians,36.209,12.921,26
158,Kingsmead,50,Royal Challengers Bangalore,Punjab Kings,41.082,4.402,38
159,Kingsmead,100,Punjab Kings,Royal Challengers Bangalore,16.067,6.434,35
160,St George's Park,50,Deccan Chargers,Rajasthan Royals,26.357,5.439,39
161,St George's Park,100,Rajasthan Royals,Deccan Chargers,54.279,4.47,30
162,New Wanderers Stadium,50,Chennai Super Kings,Delhi Daredevils,33.577,7.606,53
163,New Wanderers Stadium,100,Delhi Daredevils,Chennai Super Kings,42.581,4.001,49
164,St George's Park,50,Kolkata Knight Riders,Punjab Kings,30.732,5.062,28
165,St George's Park,100,Punjab Kings,Kolkata Knight Riders,42.518,8.845,51
166,New Wanderers Stadium,50,Mumbai Indians,Royal Challengers Bangalore,53.277,6.734,25
167,New Wanderers Stadium,100,Royal Challengers Bangalore,Mumbai Indians,28.361,10.988,51
168,Buffalo Park,50,Chennai Super Kings,Deccan Chargers,21.88,5.7,53
169,Buffalo Park,100,Deccan Chargers,Chennai Super Kings,50.227,5.625,52
170,Kingsmead,50,Rajasthan Royals,Punjab Kings,17.291,7.318,57
171,Kingsmead,100,Punjab Kings,Rajasthan Royals,50.311,3.809,29
172,Kingsmead,50,Kolkata Knight Riders,Delhi Daredevils,19.294,8.28,54
173,Kingsmead,100,Delhi Daredevils,Kolkata Knight Riders,22.738,8.783,57
174,SuperSport Park,50,Deccan Chargers,Mumbai Indians,38.601,13.054,37
175,SuperSport Park,100,Mumbai Indians,Deccan Chargers,37.285,6.071,41
176,SuperSport Park,50,Royal Challengers Bangalore,Rajasthan Royals,48.349,8.13,29
177,SuperSport Park,100,Rajasthan Royals,Royal Challengers Bangalore,30.12,6.734,31
178,SuperSport Park,50,Chennai Super Kings,Punjab Kings,29.842,6.85,57
179,SuperSport Park,100,Punjab Kings,Chennai Super Kings,29.753,6.117,53
180,Buffalo Park,50,Mumbai Indians,Delhi Daredevils,33.733,7.606,30
181,Buffalo Park,100,Delhi Daredevils,Mumbai Indians,22.738,8.491,36
182,De Beers Diamond Oval,50,Deccan Chargers,Punjab Kings,29.033,7.151,52
183,De Beers Diamond Oval,100,Punjab Kings,Deccan Chargers,40.184,5.509,45
184,De Beers Diamond Oval,50,Rajasthan Royals,Chennai Super Kings,29.103,6.103,34
185,De Beers Diamond Oval,100,Chennai Super Kings,Rajasthan Royals,33.577,3.809,37
186,St George's Park,50,Mumbai Indians,Royal Challengers Bangalore,31.467,5.553,46
187,St George's Park,100,Royal Challengers Bangalore,Mumbai Indians,40.201,9.806,39
188,New Wanderers Stadium,50,Kolkata Knight Riders,Delhi Daredevils,40.028,7.606,37
189,New Wanderers Stadium,100,Delhi Daredevils,Kolkata Knight Riders,22.738,6.027,47
190,De Beers Diamond Oval,50,Deccan Chargers,Rajasthan Royals,29.334,8.9,42
191,De Beers Diamond Oval,100,Rajasthan Royals,Deccan Chargers,41.932,5.765,30
192,SuperSport Park,50,Kolkata Knight Riders,Royal Challengers Bangalore,40.534,5.367,38
193,SuperSport Park,100,Royal Challengers Bangalore,Kolkata Knight Riders,19.991,6.04,46
194,SuperSport Park,50,Punjab Kings,Mumbai Indians,50.817,9.806,51
195,SuperSport Park,100,Mumbai Indians,Punjab Kings,44.259,9.019,42
196,Kingsmead,50,Delhi Daredevils,Deccan Chargers,32.028,5.965,56
197,Kingsmead,100,Deccan Chargers,Delhi Daredevils,37.339,7.606,50
198,Kingsmead,50,Chennai Super Kings,Royal Challengers Bangalore,42.421,10.072,52
199,Kingsmead,100,Royal Challengers Bangalore,Chennai Super Kings,49.985,5.625,33
200,Kingsmead,50,Rajasthan Royals,Mumbai Indians,19.117,10.197,42
201,Kingsmead,100,Mumbai Indians,Rajasthan Royals,51.635,5.501,26
202,OUTsurance Oval,50,Delhi Daredevils,Punjab Kings,43.81,9.019,38
203,OUTsurance Oval,100,Punjab Kings,Delhi Daredevils,52.909,7.078,37
204,St George's Park,50,Mumbai Indians,Chennai Super Kings,32.77,4.001,49
205,St George's Park,100,Chennai Super Kings,Mumbai Indians,40.259,9.806,35
206,New Wanderers Stadium,50,Kolkata Knight Riders,Deccan Chargers,27.274,5.406,31
207,New Wanderers Stadium,100,Deccan Chargers,Kolkata Knight Riders,20.759,5.38,50
208,New Wanderers Stadium,50,Punjab Kings,Deccan Chargers,52.909,5.406,39
209,New Wanderers Stadium,100,Deccan Chargers,Punjab Kings,35.397,7.811,46
210,OUTsurance Oval,50,Delhi Daredevils,Rajasthan Royals,43.81,5.106,35
211,OUTsurance Oval,100,Rajasthan Royals,Delhi Daredevils,35.445,7.461,24
212,SuperSport Park,50,Chennai Super Kings,Kolkata Knight Riders,20.411,5.908,54
213,SuperSport Park,100,Kolkata Knight Riders,Chennai Super Kings,27.274,4.289,56
214,New Wanderers Stadium,50,Delhi Daredevils,Royal Challengers Bangalore,39.815,6.434,37
215,New Wanderers Stadium,100,Royal Challengers Bangalore,Delhi Daredevils,30.523,5.788,27
216,Kingsmead,50,Rajasthan Royals,Kolkata Knight Riders,59.138,4.905,46
217,Kingsmead,100,Kolkata Knight Riders,Rajasthan Royals,42.535,4.365,29
218,Kingsmead,50,Chennai Super Kings,Punjab Kings,32.108,7.811,50
219,Kingsmead,100,Punjab Kings,Chennai Super Kings,34.686,6.957,29
220,SuperSport Park,50,Mumbai Indians,Delhi Daredevils,42.985,3.357,30
221,SuperSport Park,100,Delhi Daredevils,Mumbai Indians,35.714,8.591,60
222,SuperSport Park,50,Royal Challengers Bangalore,Deccan Chargers,27.849,5.406,33
223,SuperSport Park,100,Deccan Chargers,Royal Challengers Bangalore,20.759,7.204,64
224,SuperSport Park,50,Delhi Daredevils,Deccan Chargers,45.004,5.616,49
225,SuperSport Park,100,Deccan Chargers,Delhi Daredevils,26.357,7.787,84
226,New Wanderers Stadium,50,Chennai Super Kings,Royal Challengers Bangalore,22.014,10.072,52
227,New Wanderers Stadium,100,Royal Challengers Bangalore,Chennai Super Kings,37.634,5.448,59
228,New Wanderers Stadium,50,Deccan Chargers,Royal Challengers Bangalore,35.397,10.072,31
229,New Wanderers Stadium,100,Royal Challengers Bangalore,Deccan Chargers,27.849,5.406,36
230,Dr DY Patil Sports Academy,50,Kolkata Knight Riders,Deccan Chargers,47.817,5.459,38
231,Dr DY Patil Sports Academy,100,Deccan Chargers,Kolkata Knight Riders,20.123,5.94,62
232,Brabourne Stadium,50,Mumbai Indians,Rajasthan Royals,30.677,2.73,69
233,Brabourne Stadium,100,Rajasthan Royals,Mumbai Indians,24.652,10.443,39
234,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Delhi Daredevils,34.512,4.306,44
235,"Punjab Cricket Association Stadium, Mohali",100,Delhi Daredevils,Punjab Kings,43.81,5.903,39
236,Eden Gardens,50,Royal Challengers Bangalore,Kolkata Knight Riders,37.422,6.528,24
237,Eden Gardens,100,Kolkata Knight Riders,Royal Challengers Bangalore,15.323,10.259,61
238,"MA Chidambaram Stadium, Chepauk",50,Deccan Chargers,Chennai Super Kings,35.754,8.748,57
239,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Deccan Chargers,55.636,6.258,34
240,Narendra Modi Stadium,50,Rajasthan Royals,Delhi Daredevils,42.165,3.493,47
241,Narendra Modi Stadium,100,Delhi Daredevils,Rajasthan Royals,43.81,5.014,60
242,M Chinnaswamy Stadium,50,Punjab Kings,Royal Challengers Bangalore,16.289,9.862,50
243,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Punjab Kings,18.983,6.658,61
244,Eden Gardens,50,Chennai Super Kings,Kolkata Knight Riders,33.577,5.584,31
245,Eden Gardens,100,Kolkata Knight Riders,Chennai Super Kings,45.037,6.874,45
246,Feroz Shah Kotla,50,Mumbai Indians,Delhi Daredevils,30.677,4.506,67
247,Feroz Shah Kotla,100,Delhi Daredevils,Mumbai Indians,32.819,11.072,56
248,M Chinnaswamy Stadium,50,Rajasthan Royals,Royal Challengers Bangalore,23.817,13.204,31
249,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Rajasthan Royals,18.983,6.814,59
250,Feroz Shah Kotla,50,Delhi Daredevils,Chennai Super Kings,34.013,9.591,52
251,Feroz Shah Kotla,100,Chennai Super Kings,Delhi Daredevils,28.563,7.843,56
252,Barabati Stadium,50,Deccan Chargers,Punjab Kings,35.754,8.329,56
253,Barabati Stadium,100,Punjab Kings,Deccan Chargers,45.121,5.765,27
254,Narendra Modi Stadium,50,Rajasthan Royals,Kolkata Knight Riders,35.63,8.993,56
255,Narendra Modi Stadium,100,Kolkata Knight Riders,Rajasthan Royals,24.792,5.995,38
256,Brabourne Stadium,50,Mumbai Indians,Royal Challengers Bangalore,39.176,13.204,45
257,Brabourne Stadium,100,Royal Challengers Bangalore,Mumbai Indians,18.983,11.072,55
258,Barabati Stadium,50,Deccan Chargers,Delhi Daredevils,37.13,2.647,47
259,Barabati Stadium,100,Delhi Daredevils,Deccan Chargers,35.276,6.258,48
260,"MA Chidambaram Stadium, Chepauk",50,Punjab Kings,Chennai Super Kings,27.963,11.334,38
261,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Punjab Kings,22.014,4.567,42
262,Brabourne Stadium,50,Kolkata Knight Riders,Mumbai Indians,20.925,11.363,41
263,Brabourne Stadium,100,Mumbai Indians,Kolkata Knight Riders,21.604,5.179,57
264,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Chennai Super Kings,28.767,5.625,38
265,M Chinnaswamy Stadium,100,Chennai Super Kings,Royal Challengers Bangalore,32.008,10.259,29
266,"Punjab Cricket Association Stadium, Mohali",50,Rajasthan Royals,Punjab Kings,28.269,6.46,53
267,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Rajasthan Royals,26.238,3.909,76
268,Brabourne Stadium,50,Chennai Super Kings,Mumbai Indians,40.259,10.701,51
269,Brabourne Stadium,100,Mumbai Indians,Chennai Super Kings,21.604,5.131,63
270,Narendra Modi Stadium,50,Deccan Chargers,Rajasthan Royals,35.754,2.001,55
271,Narendra Modi Stadium,100,Rajasthan Royals,Deccan Chargers,20.483,5.768,54
272,"Punjab Cricket Association Stadium, Mohali",50,Kolkata Knight Riders,Punjab Kings,38.478,5.453,50
273,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Kolkata Knight Riders,34.512,5.019,42
274,M Chinnaswamy Stadium,50,Delhi Daredevils,Royal Challengers Bangalore,44.412,13.204,64
275,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Delhi Daredevils,18.983,7.743,46
276,Narendra Modi Stadium,50,Rajasthan Royals,Chennai Super Kings,28.269,4.09,58
277,Narendra Modi Stadium,100,Chennai Super Kings,Rajasthan Royals,33.577,2.706,58
278,Dr DY Patil Sports Academy,50,Mumbai Indians,Deccan Chargers,34.397,4.562,52
279,Dr DY Patil Sports Academy,100,Deccan Chargers,Mumbai Indians,37.13,13.296,50
280,Feroz Shah Kotla,50,Delhi Daredevils,Kolkata Knight Riders,56.829,5.441,62
281,Feroz Shah Kotla,100,Kolkata Knight Riders,Delhi Daredevils,49.004,2.738,36
282,Brabourne Stadium,50,Punjab Kings,Mumbai Indians,37.184,13.296,48
283,Brabourne Stadium,100,Mumbai Indians,Punjab Kings,29.854,7.321,45
284,"MA Chidambaram Stadium, Chepauk",50,Royal Challengers Bangalore,Chennai Super Kings,30.486,5.631,52
285,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Royal Challengers Bangalore,21.88,10.259,56
286,Feroz Shah Kotla,50,Delhi Daredevils,Rajasthan Royals,54.393,2.798,52
287,Feroz Shah Kotla,100,Rajasthan Royals,Delhi Daredevils,56.47,6.793,39
288,Eden Gardens,50,Kolkata Knight Riders,Deccan Chargers,30.394,1.602,46
289,Eden Gardens,100,Deccan Chargers,Kolkata Knight Riders,30.765,2.1,59
290,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Royal Challengers Bangalore,29.144,13.204,41
291,"Punjab Cricket Association Stadium, Mohali",100,Royal Challengers Bangalore,Punjab Kings,30.876,6.415,51
292,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Rajasthan Royals,33.577,6.638,66
293,"MA Chidambaram Stadium, Chepauk",100,Rajasthan Royals,Chennai Super Kings,20.483,5.148,62
294,Brabourne Stadium,50,Mumbai Indians,Deccan Chargers,21.604,2.56,53
295,Brabourne Stadium,100,Deccan Chargers,Mumbai Indians,35.754,14.136,40
296,Eden Gardens,50,Kolkata Knight Riders,Punjab Kings,20.925,4.567,53
297,Eden Gardens,100,Punjab Kings,Kolkata Knight Riders,29.465,3.993,69
298,Feroz Shah Kotla,50,Delhi Daredevils,Royal Challengers Bangalore,47.693,5.95,54
299,Feroz Shah Kotla,100,Royal Challengers Bangalore,Delhi Daredevils,26.314,2.117,38
300,"Vidarbha Cricket Association Stadium, Jamtha",50,Rajasthan Royals,Deccan Chargers,38.39,6.65,48
